# STAR             = HIP114971
# RA(ICRS, deg)    = 349.29141
# Dec(ICRS, deg)   = 3.2822883
# pmRA  (mas/yr)   = 759.820
# pmDec (mas/yr)   = 17.7700
# parallax (mas)   = 23.6400
# Vrad  (km/s)     = -14480.0
# Vtemplate (km/s) = -43132.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2019-04-13T06-15-29_ext.ooo        2458586.7617763001  2458586.7576554301     -29247.89     -13969.42    137.32      6.80    6362.5
s1_2019-04-13T06-18-30_ext.ooo        2458586.7638650001  2458586.7597442367     -29252.74     -13975.18    141.80      7.86    6882.4
s1_2019-04-14T06-11-26_ext.ooo        2458587.7589640999  2458587.7548935069     -29686.95     -13982.26    121.25      5.89    7234.0
s1_2019-04-14T06-14-29_ext.ooo        2458587.7610721998  2458587.7570017171     -29682.52     -13978.77    113.88      5.07    7817.5
s1_2019-04-14T06-17-29_ext.ooo        2458587.7631633002  2458587.7590929270     -29696.08     -13993.33    125.27      6.17    8444.6
s1_2019-04-17T06-13-56_ext.ooo        2458590.7606982002  2458590.7567873951     -30932.48     -13986.15    400.62     20.75    1685.2
s1_2019-04-21T05-52-14_ext.ooo        2458594.7456199001  2458594.7419401133     -32546.19     -14006.11    163.98      8.94    2914.4
s1_2019-04-21T05-55-16_ext.ooo        2458594.7477295999  2458594.7440499440     -32535.60     -13996.72    161.55      8.68    2562.7
s1_2019-04-21T05-58-16_ext.ooo        2458594.7498201998  2458594.7461406728     -32544.74     -14007.11    174.12     10.66    2713.8
s1_2019-04-24T05-50-56_ext.ooo        2458597.7447227999  2458597.7412305428     -33682.15     -14005.25    146.45      7.56    4102.0
s1_2019-04-24T05-53-56_ext.ooo        2458597.7468101000  2458597.7433179799     -33676.18     -14000.72    118.71      6.20    5209.5
s1_2019-04-24T05-56-57_ext.ooo        2458597.7488990999  2458597.7454071171     -33679.48     -14005.53    130.04      5.66    5788.9
s1_2019-04-25T05-26-30_ext.ooo        2458598.7277504001  2458598.7243220517     -34068.29     -14013.25    120.36      5.63    6794.1
s1_2019-04-25T05-29-31_ext.ooo        2458598.7298532999  2458598.7264250922     -34068.28     -14014.25    115.85      5.64    7052.6
s1_2019-04-25T05-32-32_ext.ooo        2458598.7319438001  2458598.7285157326     -34066.64     -14013.69    112.40      5.32    7678.2
s1_2019-04-26T05-43-19_ext.ooo        2458599.7394351000  2458599.7360738004     -34413.01     -14001.83    102.98      4.66    9440.5
s1_2019-04-26T05-46-20_ext.ooo        2458599.7415244998  2458599.7381633422     -34408.24     -13998.54    102.28      4.73    8898.1
s1_2019-04-26T05-49-20_ext.ooo        2458599.7436107998  2458599.7402497842     -34410.39     -14002.22    105.82      4.68    9236.5
s1_2019-04-27T05-38-43_ext.ooo        2458600.7362436000  2458600.7329495554     -34755.72     -13985.46    111.39      4.98    8805.5
s1_2019-04-27T05-41-44_ext.ooo        2458600.7383349999  2458600.7350411001     -34750.80     -13982.01    106.19      4.49    8630.2
s1_2019-04-27T05-44-44_ext.ooo        2458600.7404209999  2458600.7371272445     -34744.54     -13977.28    106.19      5.13    9100.3
s1_2019-04-28T05-30-40_ext.ooo        2458601.7306483001  2458601.7274225238     -35109.61     -13984.50    115.19      5.45    7939.5
s1_2019-04-28T05-33-42_ext.ooo        2458601.7327549001  2458601.7295292723     -35103.91     -13980.21    108.58      5.59    7644.4
s1_2019-04-28T05-36-42_ext.ooo        2458601.7348412001  2458601.7316157194     -35098.74     -13976.50    114.52      5.25    8937.8
s1_2019-04-29T05-33-18_ext.ooo        2458602.7324788002  2458602.7293229816     -35450.13     -13981.27    131.76      6.70    5764.2
s1_2019-04-29T05-36-20_ext.ooo        2458602.7345836000  2458602.7314279322     -35447.33     -13980.03    124.98      6.07    5488.7
s1_2019-04-29T05-39-22_ext.ooo        2458602.7366871000  2458602.7335315831     -35442.94     -13977.26    138.47      7.51    4548.5
s1_2019-04-30T05-29-50_ext.ooo        2458603.7300645998  2458603.7269795844     -35810.65     -14001.33    122.52      5.90    6698.1
s1_2019-04-30T05-32-50_ext.ooo        2458603.7321532001  2458603.7290683365     -35805.35     -13997.60    122.92      5.60    6536.1
s1_2019-04-30T05-35-51_ext.ooo        2458603.7342444998  2458603.7311597886     -35799.34     -13993.23    112.12      5.32    6288.5
s1_2019-05-01T05-15-40_ext.ooo        2458604.7202320001  2458604.7172183632     -36123.17     -13974.63    140.98      7.56    5353.7
s1_2019-05-01T05-18-42_ext.ooo        2458604.7223338000  2458604.7193203187     -36121.29     -13974.12    142.82      7.67    5670.3
s1_2019-05-01T05-21-44_ext.ooo        2458604.7244425002  2458604.7214291748     -36127.34     -13981.61    136.61      7.33    5786.1
